№ п/п;Наименование;Координата Х;Координата У;Адрес
53;Индивидуальный жилой дом (строительство);;;Костромская область, Шарьинский район ,  п.Зебляки, ул.Карла Маркса, д.4
54;Индивидуальный жилой дом (строительство);;;Костромская область, Шарьинский район ,  с.Одоевское, ул.Нейская, д.39
55;Индивидуальный жилой дом (строительство);;;Костромская область, Шарьинский район ,   д. Надежино, д.26 
56;Индивидуальный жилой дом (строительство);;;Костромская область, Шарьинский район ,  с.Одоевское, ул.Новопетровская, д.7
57;Индивидуальный жилой дом (строительство);;;Костромская область, Шарьинский район ,  п.Зебляки, ул.Лесная, д.29
58;Индивидуальный жилой дом (строительство);;;Костромская область, Шарьинский район ,   д. Матвеевка, д.72
59;Индивидуальный жилой дом (строительство);;;Костромская область, Шарьинский район ,   Зебляковское с.п., д. Сабуриха, д.4
60;Индивидуальный жилой дом (строительство);;;Костромская область, Шарьинский район ,   д. Ширикалиха, д.18
61;Индивидуальный жилой дом (строительство);;;Костромская область, Шарьинский район ,  п.Шекшема, ул.Матросова, д.13
62;Индивидуальный жилой дом (строительство);;;Костромская область, Шарьинский район ,  с. Н-Шанга , ул.Школьная, д.13а
63;Индивидуальный жилой дом (строительство);;;Костромская область, Шарьинский район ,  п.Зебляки, ул.Шарьинская, д.7
64;Индивидуальный жилой дом (строительство);;;Костромская область, Шарьинский район ,  п.Зебляки, ул.Московская, д.29
65;Индивидуальный жилой дом (строительство);;;Костромская область, Шарьинский район ,  д.Ивановское, д.31а
66;Индивидуальный жилой дом (строительство);;;Костромская область, Шарьинский район ,  д.Сафоново, д.48
67;Индивидуальный жилой дом (строительство);;;Костромская область, Шарьинский район ,  д.Горланиха д. 11
68;Индивидуальный жилой дом (строительство);;;Костромская область, Шарьинский район ,  д.Матвеевка, ориентир- д.№14
69;Индивидуальный жилой дом (строительство);;;Костромская область, Шарьинский район ,  д.Кораблиха, д.1
70;Индивидуальный жилой дом (строительство);;;Костромская область, Шарьинский район ,  д.Симоново, д.6
71;Индивидуальный жилой дом (строительство);;;Костромская область, Шарьинский район ,  п.Зебляки, ул.Октябрьская, д.65
72;Индивидуальный жилой дом (строительство);;;Костромская область, Шарьинский район ,  с.Н-Шанга, ул.И.Шатрова, д.40
73;Индивидуальный жилой дом (строительство);;;Костромская область, Шарьинский район ,  п.Соколовский, ул.Соколовская, д.26
74;Индивидуальный жилой дом (строительство);;;Костромская область, Шарьинский район ,  д.Бычиха, д.1
75;Индивидуальный жилой дом (строительство);;;Костромская область, Шарьинский район ,  д.Прудовка, д.38
76;Индивидуальный жилой дом (строительство);;;Костромская область, Шарьинский район ,  с.Рождественское, ул.Октябрьская, д.13
77;Индивидуальный жилой дом (реконструкция);;;Костромская область, Шарьинский район ,  д.Выползово, д.12а
78;Индивидуальный жилой дом (строительство);;;Костромская область, Шарьинский район ,  д.Гольяниха, д.21
79;Индивидуальный жилой дом (строительство);;;Костромская область, Шарьинский район ,  с. Н-Шанга , ул.Молодежная, д.23а
80;Индивидуальный жилой дом (строительство);;;Костромская область, Шарьинский район ,  д.Бычиха, д.4
81;Индивидуальный жилой дом (строительство);;;Костромская область, Шарьинский район ,  д.Осипово, д.16
82;Индивидуальный жилой дом (строительство);;;Костромская область, Шарьинский район ,  д.Надежино, д.5
83;Индивидуальный жилой дом (реконструкция);;;Костромская область, Шарьинский район ,   д. Быниха,  ул.Центральная, д.11
84;Индивидуальный жилой дом (строительство);;;Костромская область, Шарьинский район ,  п.Зебляки, ул.Зебляковская, д.23
85;Индивидуальный жилой дом (реконструкция);;;Костромская область, Шарьинский район ,  д.Глушиха, д.10
86;Индивидуальный жилой дом (строительство);;;Костромская область, Шарьинский район ,   д. Пищевка,  ул.Новая, д.12
87;Индивидуальный жилой дом (строительство);;;Костромская область, Шарьинский район ,  д.Осипово, д.17
88;Индивидуальный жилой дом (реконструкция);;;Костромская область, Шарьинский район ,  д.Филатиха, д.11
89;Дачный дом (строительство);;;Костромская область, Шарьинский район ,  д.Матвеевка, д.49
90;Индивидуальный жилой дом (строительство);;;Костромская область, Шарьинский район ,  д.Притыкино, д.11
91;Индивидуальный жилой дом (реконструкция);;;Костромская область, Шарьинский район ,  п.Зебляки, ул.Октябрьская, д.58
92;Индивидуальный жилой дом (реконструкция);;;Костромская область, Шарьинский район ,  п.Зебляки, ул.Вокзальная, д.32
93;Индивидуальный жилой дом (строительство);;;Костромская область, Шарьинский район ,  д.Конево, ул.Школьная д.16а
94;Индивидуальный жилой дом (строительство);;;Костромская область, Шарьинский район ,  с.Рождественское, ул.Механизаторов, д.1
95;Индивидуальный жилой дом (строительство);;;Костромская область, Шарьинский район ,  д.Сафоново, д.40
96;Индивидуальный жилой дом (реконструкция);;;Костромская область, Шарьинский район ,  п.Зебляки, ул.Костромская, д.4
98;Индивидуальный жилой дом (реконструкция);;;Костромская область, Шарьинский район ,   д. Пищевка,  пер.Полевой, д.1
99;Индивидуальный жилой дом (строительство);;;Костромская область, Шарьинский район ,  п.Зебляки, ул.Соколовская, д.72 а
100;Индивидуальный жилой дом (строительство);;;Костромская область, Шарьинский район ,  д.Притыкино, д.6
101;Индивидуальный жилой дом (строительство);;;Костромская область, Шарьинский район ,  д.Притыкино, д.8
102;Индивидуальный жилой дом (строительство);;;Костромская область, Шарьинский район ,  с. Н-Шанга , ул.Новая, д.9а
103;Индивидуальный жилой дом (строительство);;;Костромская область, Шарьинский район ,  с. Н-Шанга , ул.И.Шатрова, д.36
104;Индивидуальный жилой дом (реконструкция);;;Костромская область, Шарьинский район ,  п.Шекшема  ул.Рабочая, д. 35 
105;Индивидуальный жилой дом (строительство);;;Костромская область, Шарьинский район ,  п.Шекшема, ул.Вокзальная, д.46
106;Индивидуальный жилой дом (строительство);;;Костромская область, Шарьинский район ,  д.Павлово, д.47а
107;Индивидуальный жилой дом (строительство);;;Костромская область, Шарьинский район ,  д.Кораблиха, д.4а
108;Индивидуальный жилой дом (строительство);;;Костромская область, Шарьинский район , д.Яковлиха д.12б
109;Индивидуальный жилой дом (реконструкция);;;Костромская область, Шарьинский район ,  с.Одоевское, ул.Нейская, д.48
110;Индивидуальный жилой дом (реконструкция);;;Костромская область, Шарьинский район ,   д. Берзиха,  ул.Центральная, д.34
111;Индивидуальный жилой дом (строительство);;;Костромская область, Шарьинский район ,  д.Кораблиха, д.2а
112;Индивидуальный жилой дом (строительство);;;Костромская область, Шарьинский район ,  с. Н-Шанга , ул.Новая, д.8а
113;Индивидуальный жилой дом (строительство);;;Костромская область, Шарьинский район ,  д.Кораблиха, д.21
114;Индивидуальный жилой дом (строительство);;;Костромская область, Шарьинский район ,  д.Надежино, д.21
115;Индивидуальный жилой дом (реконструкция);;;Костромская область, Шарьинский район ,  п.Шекшема, ул.Почтовая, д.32
116;Индивидуальный жилой дом (строительство);;;Костромская область, Шарьинский район ,  п.Соколовский, ул.Соколовская, д.68
117;Индивидуальный жилой дом (строительство);;;Костромская область, Шарьинский район ,  д.Прудовка, д.37
118;Индивидуальный жилой дом (строительство);;;Костромская область, Шарьинский район ,  д.Матвеевка, д.8
119;Индивидуальный жилой дом (строительство);;;Костромская область, Шарьинский район ,  д.Коурчиха, д.7
120;Индивидуальный жилой дом (строительство);;;Костромская область, Шарьинский район ,  д.Решетиха, д.11
121;Индивидуальный жилой дом (строительство);;;Костромская область, Шарьинский район ,  д.Выползово, д.3
122;Индивидуальный жилой дом (строительство);;;Костромская область, Шарьинский район ,  д. Дюково д. 19
123;Индивидуальный жилой дом (строительство);;;Костромская область, Шарьинский район ,  п.Шекшема, ул.Советская, д.18
124;Индивидуальный жилой дом (реконструкция);;;Костромская область, Шарьинский район ,  с.Рождественское, ул.Коммунальная, д.12
125;Индивидуальный жилой дом (строительство);;;Костромская область, Шарьинский район ,  д.Матвеевка, д.4
126;Индивидуальный жилой дом (строительство);;;Костромская область, Шарьинский район ,  п.Варакинский, ул.Рабочая, д.71
127;Индивидуальный жилой дом (реконструкция);;;Костромская область, Шарьинский район ,  д. Кривячка ул Молодежная, д.4
128;Индивидуальный жилой дом (строительство);;;Костромская область, Шарьинский район ,  п.Шекшема, ул.Вокзальная, д.39
129;Индивидуальный жилой дом (реконструкция);;;Костромская область, Шарьинский район ,  п.Зебляки, ул.Первомайская, д.19
130;Индивидуальный жилой дом (строительство);;;Костромская область, Шарьинский район ,  п.Зебляки, ул.Первомайская, д.59
131;Индивидуальный жилой дом (строительство);;;Костромская область, Шарьинский район ,  д.Козиониха, д.13
132;Индивидуальный жилой дом (строительство);;;Костромская область, Шарьинский район ,  д.Козиониха, д.56
133;Индивидуальный жилой дом (строительство);;;Костромская область, Шарьинский район ,  с.Рождественское, ул.Совесткая, д.37
134;Индивидуальный жилой дом (строительство);;;Костромская область, Шарьинский район ,  Ширикалиха ул.Центральная д.11
135;Индивидуальный жилой дом (строительство);;;Костромская область, Шарьинский район ,  д.Уткино, д.10
136;Индивидуальный жилой дом (строительство);;;Костромская область, Шарьинский район ,  д.Сабуриха, д.31
137;Индивидуальный жилой дом (строительство);;;Костромская область, Шарьинский район ,  д.Сабуриха, д.26
138;Индивидуальный жилой дом (строительство);;;Костромская область, Шарьинский район ,  п.Зебляки, ул.Пролетарская, д.22
139;Индивидуальный жилой дом (строительство);;;Костромская область, Шарьинский район ,  д.Сабуриха, д.23
140;Индивидуальный жилой дом (реконструкция);;;Костромская область, Шарьинский район ,  п.Зебляки, ул.Юбилейная, д.2а
141;Индивидуальный жилой дом (реконструкция);;;Костромская область, Шарьинский район ,  с. Н-Шанга , ул.И.Шатрова, д.37
142;Индивидуальный жилой дом (строительство);;;Костромская область, Шарьинский район ,  п.Зебляки, ул.Садовая, д.17
143;Индивидуальный жилой дом (строительство);;;Костромская область, Шарьинский район ,  д.Яковлиха, д.4а
144;Индивидуальный жилой дом (строительство);;;Костромская область, Шарьинский район ,  п.Зебляки, ул.Октябрьская, д.63
145;Индивидуальный жилой дом (строительство);;;Костромская область, Шарьинский район ,  д.Кораблиха, д.8а
146;Индивидуальный жилой дом (строительство);;;Костромская область, Шарьинский район ,  с. Н-Шанга , ул.Ю.Смирнова, д.17
147;Индивидуальный жилой дом (строительство);;;Костромская область, Шарьинский район ,  д.Ивановское, д.35
148;Индивидуальный жилой дом (строительство);;;Костромская область, Шарьинский район ,  д.Пустошка, д.6а
149;Индивидуальный жилой дом (строительство);;;Костромская область, Шарьинский район ,  д.Середняя, д.16
150;Индивидуальный жилой дом (строительство);;;Костромская область, Шарьинский район ,  с.Одоевское, ул.Новопетровская, д.28а
151;Индивидуальный жилой дом (строительство);;;Костромская область, Шарьинский район ,  п.Соколовский, ул.Лесная, д.12
152;Индивидуальный жилой дом (строительство);;;Костромская область, Шарьинский район ,  д.Бычиха, д.14
153;Индивидуальный жилой дом (строительство);;;Костромская область, Шарьинский район ,  с. Н-Шанга , ул.И.Шатрова, д.20
154;Индивидуальный жилой дом (строительство);;;Костромская область, Шарьинский район ,  д.Осипово, д.29
155;Индивидуальный жилой дом (строительство);;;Костромская область, Шарьинский район ,  д.Кораблиха, д.23
156;Индивидуальный жилой дом (строительство);;;Костромская область, Шарьинский район ,  д.Яковлиха, д.12а
157;Индивидуальный жилой дом (строительство);;;Костромская область, Шарьинский район ,  д.Завьялиха, д.4
158;Индивидуальный жилой дом (строительство);;;Костромская область, Шарьинский район ,  п.Зебляки, ул.Чапаева, д.19
156;Индивидуальный жилой дом (строительство);;;Костромская область, Шарьинский район ,  д.Подолиха, д.15
157;Индивидуальный жилой дом (строительство);;;Костромская область, Шарьинский район ,  д.Бычиха, д.2а
158;Индивидуальный жилой дом (строительство);;;Костромская область, Шарьинский район ,  п.Соколовский, ул.Соколовская, д.32
159;Индивидуальный жилой дом (строительство);;;Костромская область, Шарьинский район ,  д.Филино, д.25
159;Индивидуальный жилой дом (строительство);;;Костромская область, Шарьинский район ,  д.Осипово, д.3
160;Индивидуальный жилой дом (строительство);;;Костромская область, Шарьинский район ,  п.Зебляки, ул.Октябрьская, д.58
161;Индивидуальный жилой дом (строительство);;;Костромская область, Шарьинский район ,  д.Филино, д.3
162;Индивидуальный жилой дом (строительство);;;Костромская область, Шарьинский район ,  д.Козиониха, д.10а
163;Индивидуальный жилой дом (строительство);;;Костромская область, Шарьинский район ,  д.Матвеевка, д.6
164;Индивидуальный жилой дом (строительство);;;Костромская область, Шарьинский район ,  д.Выползово, д.9
165;Индивидуальный жилой дом (строительство);;;Костромская область, Шарьинский район ,  п.Зебляки, ул.Лесная, д.49
166;Индивидуальный жилой дом (строительство);;;Костромская область, Шарьинский район ,  п.Зебляки, ул.2-я Заводская, д.19
167;Индивидуальный жилой дом (строительство);;;Костромская область, Шарьинский район ,  д.Надежино, д.20
168;Индивидуальный жилой дом (строительство);;;Костромская область, Шарьинский район ,  д.Кривячка, ул.Центральная, д.75
169;Индивидуальный жилой дом (строительство);;;Костромская область, Шарьинский район ,  п.Соколовский, ул.Соколовская, д.32
170;Индивидуальный жилой дом (строительство);;;Костромская область, Шарьинский район ,  с. Н-Шанга , ул.Ю.Смирнова, д.23
171;Индивидуальный жилой дом (строительство);;;Костромская область, Шарьинский район ,  д.Бодячиха, д.4
172;Индивидуальный жилой дом (строительство);;;Костромская область, Шарьинский район ,  с. Троицкое , ул.Набережная, д.10
173;Индивидуальный жилой дом (строительство);;;Костромская область, Шарьинский район ,  с. Н-Шанга , ул.Рабочая, д.31
174;Индивидуальный жилой дом (строительство);;;Костромская область, Шарьинский район ,  д.Кораблиха, д.25
175;Индивидуальный жилой дом (строительство);;;Костромская область, Шарьинский район ,  д.Кораблиха, д.1
176;Индивидуальный жилой дом (строительство);;;Костромская область, Шарьинский район ,  д.Матвеевка, д.64
177;Индивидуальный жилой дом (строительство);;;Костромская область, Шарьинский район ,  д.Кораблиха, д.24
178;Индивидуальный жилой дом (строительство);;;Костромская область, Шарьинский район ,  с. Н-Шанга , ул.Молодежная, д.23а
179;Индивидуальный жилой дом (строительство);;;Костромская область, Шарьинский район ,  д.Решетиха, д.8
180;Индивидуальный жилой дом (реконструкция);;;Костромская область, Шарьинский район ,  д.Сабуриха, ул. Сабурихинская. д.22
181;Индивидуальный жилой дом (строительство);;;Костромская область, Шарьинский район ,  д.Решетиха, д.27
182;Индивидуальный жилой дом (строительство);;;Костромская область, Шарьинский район ,  с. Н-Шанга , ул.Ю.Смирнова, д.23
183;Индивидуальный жилой дом (строительство);;;Костромская область, Шарьинский район ,  д. Осипово ,  д.26
184;Индивидуальный жилой дом (строительство);;;Костромская область, Шарьинский район , п. Зебляки, ул Лесная, д. 29
185;Индивидуальный жилой дом (строительство);;;Костромская область, Шарьинский район ,  п. Зебляки , ул. Шарьинская, д.30
186;Индивидуальный жилой дом (строительство);;;Костромская область, Шарьинский район ,  п.Зебляки , ул. Школьная, д.9
187;Индивидуальный жилой дом (строительство);;;Костромская область, Шарьинский район ,  д. Матвеевка ,  д. 3 а
189;Индивидуальный жилой дом (строительство);;;Костромская область, Шарьинский район ,  д. Сабуриха ,  д. 17
190;Индивидуальный жилой дом (строительство);;;Костромская область, Шарьинский район ,  д. Осипово ,  д. 17 б
191;Дачный дом (строительство);;;Костромская область, Шарьинский район ,  д. Выползово ,  д. 1
192;Индивидуальный жилой дом (строительство);;;Костромская область, Шарьинский район ,  д. Павлово ,  д. 28
193;Индивидуальный жилой дом (реконструкция);;;Костромская область, Шарьинский район ,  д. Барановка ,  д. 22
194;Индивидуальный жилой дом (реконструкция);;;Костромская область, Шарьинский район ,  д. Большая Талица ,  д. 19
195;Индивидуальный жилой дом (строительство);;;Костромская область, Шарьинский район ,  д. Осипово ,  д. 17
196;Индивидуальный жилой дом (реконструкция);;;Костромская область, Шарьинский район ,  п.Шекшема , пер.Победы, д.10
